country,t,estimate_main,Gini_main,estimate_T,Gini_T,estimate_CES,Gini_CES,estimate_PTM,Gini_PTM,estimate_Poor,Gini_Poor,estimate_Ladder,Gini_Ladder,estimate_PPML,Gini_PPML,estimate_Consumption,Gini_Consumption
IRQ,1998-2000,.77590001,40.799999,1.4938999,50.09,.79570001,41.150002,1.5412,50.529999,.50959998,35,1.2686,47.779999,.3944,31.65,1.2295001,47.34
IRQ,2001-2003,.3452,29.98,.465,33.790001,.4436,33.169998,.064599998,14.04,.61229998,37.490002,1.0072,44.5,.31119999,28.719999,.48010001,34.209999
IRQ,2004-2006,.41710001,32.369999,.50889999,34.98,.46219999,33.709999,.37310001,30.950001,.44029999,33.07,.090400003,16.48,.45280001,33.439999,-.2649,
IRQ,2007-2009,.88389999,42.639999,.94260001,43.549999,.83759999,41.880001,.78420001,40.950001,.77850002,40.84,.88889998,42.720001,.59689999,37.150002,.55629998,36.18
IRQ,2010-2012,.80400002,41.299999,.77679998,40.810001,.81849998,41.549999,.78689998,40.990002,.50190002,34.799999,1.2049,47.049999,.5934,37.07,.36770001,30.77
IRQ,2013-2015,.8926,42.779999,.83530003,41.84,.77280003,40.740002,.84829998,42.060001,.43990001,33.060001,1.7232,52.09,.51800001,35.220001,.50959998,35
IRQ,2016-2018,1.0552,45.16,1.012,44.560001,1.0367,44.91,.94520003,43.59,.71109998,39.57,2.2691,55.849998,.66439998,38.619999,.55080003,36.049999
ISR,1995-1997,.56620002,36.419998,.56840003,36.48,.61489999,37.549999,.54979998,36.02,.7712,40.709999,.56300002,36.349998,.324,29.209999,.51740003,35.209999
ISR,1998-2000,.48910001,34.450001,.51499999,35.139999,.53899997,35.759998,.53640002,35.689999,.59200001,37.029999,.50559998,34.900002,.38609999,31.379999,.4544,33.48
ISR,2001-2003,.52380002,35.369999,.56760001,36.459999,.54979998,36.029999,.50480002,34.880001,.50300002,34.830002,.57260001,36.580002,.3827,31.27,.47080001,33.950001
